


Multiple Location Flash Stimulus
Time and Date
17-Feb-2020 14:37:05

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location        contrast   stimulus type
1          17-Feb-2020 14:37:05      640, 512        0.5        q wf      
2          17-Feb-2020 14:37:09      1               0.75       q wf      
3          17-Feb-2020 14:37:12      640, 512        0.25       q wf      
4          17-Feb-2020 14:37:16      640, 512        0.75       q wf      
5          17-Feb-2020 14:37:20      640, 512        1          q wf      
6          17-Feb-2020 14:37:24      1               1          q wf      
7          17-Feb-2020 14:37:28      2               0.5        q wf      
8          17-Feb-2020 14:37:32      2               0.5        q wf      
9          17-Feb-2020 14:37:37      2               0.25       q wf      
10         17-Feb-2020 14:37:41      640, 512        0.5        q wf      
11         17-Feb-2020 14:37:45      1152, 512       0.75       q wf      
12         17-Feb-2020 14:37:48      1               0.75       q wf      
13         17-Feb-2020 14:37:52      2               0.5        q wf      
14         17-Feb-2020 14:37:56      640, 512        0.75       q wf      
15         17-Feb-2020 14:38:01      1               1          q wf      
16         17-Feb-2020 14:38:05      1152, 512       0.75       q wf      
17         17-Feb-2020 14:38:09      1152, 512       0.5        q wf      
18         17-Feb-2020 14:38:14      2               1          q wf      
19         17-Feb-2020 14:38:17      1152, 512       1          q wf      
20         17-Feb-2020 14:38:22      1152, 512       0.75       q wf      
21         17-Feb-2020 14:38:26      640, 512        0.5        q wf      
22         17-Feb-2020 14:38:30      2               0.5        q wf      
23         17-Feb-2020 14:38:35      1152, 512       0.25       q wf      
24         17-Feb-2020 14:38:38      2               0.5        q wf      
25         17-Feb-2020 14:38:43      640, 512        1          q wf      
26         17-Feb-2020 14:38:48      1152, 512       0.25       q wf      
Trial aborted
