


Multiple Location Flash Stimulus
Time and Date
17-Feb-2020 14:17:16

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location        contrast   stimulus type
1          17-Feb-2020 14:17:16      0               0.75       q wf      
2          17-Feb-2020 14:17:21      0               0.25       q wf      
3          17-Feb-2020 14:17:24      0               0.5        q wf      
4          17-Feb-2020 14:17:28      0               1          q wf      
5          17-Feb-2020 14:17:32      0               0.75       q wf      
6          17-Feb-2020 14:17:37      0               0.25       q wf      
7          17-Feb-2020 14:17:42      0               0.25       q wf      
8          17-Feb-2020 14:17:46      0               0.5        q wf      
9          17-Feb-2020 14:17:50      0               0.5        q wf      
10         17-Feb-2020 14:17:54      0               0.5        q wf      
11         17-Feb-2020 14:17:58      0               0.75       q wf      
12         17-Feb-2020 14:18:02      0               0.25       q wf      
13         17-Feb-2020 14:18:07      0               1          q wf      
14         17-Feb-2020 14:18:10      0               0.25       q wf      
15         17-Feb-2020 14:18:15      0               1          q wf      
16         17-Feb-2020 14:18:19      0               0.75       q wf      
17         17-Feb-2020 14:18:24      0               1          q wf      
18         17-Feb-2020 14:18:28      0               0.5        q wf      
19         17-Feb-2020 14:18:33      0               1          q wf      
20         17-Feb-2020 14:18:38      0               0.25       q wf      
21         17-Feb-2020 14:18:42      0               1          q wf      
22         17-Feb-2020 14:18:47      0               0.5        q wf      
23         17-Feb-2020 14:18:52      0               1          q wf      
24         17-Feb-2020 14:18:56      0               0.75       q wf      
25         17-Feb-2020 14:19:00      0               0.25       q wf      
26         17-Feb-2020 14:19:04      0               1          q wf      
27         17-Feb-2020 14:19:09      0               0.5        q wf      
28         17-Feb-2020 14:19:13      0               0.5        q wf      
29         17-Feb-2020 14:19:17      0               0.5        q wf      
30         17-Feb-2020 14:19:21      0               0.5        q wf      
31         17-Feb-2020 14:19:25      0               1          q wf      
32         17-Feb-2020 14:19:29      0               0.5        q wf      
33         17-Feb-2020 14:19:33      0               1          q wf      
34         17-Feb-2020 14:19:37      0               0.75       q wf      
Trial aborted
