


Multiple Location Flash Stimulus
Time and Date
17-Feb-2020 14:19:59

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location        contrast   stimulus type
1          17-Feb-2020 14:19:59      128, 102.4      1          q wf      
2          17-Feb-2020 14:20:04      0               1          q wf      
3          17-Feb-2020 14:20:09      1152, 921.6     1          q wf      
4          17-Feb-2020 14:20:14      128, 102.4      1          q wf      
5          17-Feb-2020 14:20:17      1152, 921.6     1          q wf      
6          17-Feb-2020 14:20:20      0               1          q wf      
7          17-Feb-2020 14:20:24      128, 102.4      1          q wf      
8          17-Feb-2020 14:20:27      1152, 921.6     1          q wf      
9          17-Feb-2020 14:20:32      128, 102.4      1          q wf      
10         17-Feb-2020 14:20:37      0               1          q wf      
11         17-Feb-2020 14:20:40      128, 102.4      1          q wf      
12         17-Feb-2020 14:20:44      0               1          q wf      
13         17-Feb-2020 14:20:48      128, 102.4      1          q wf      
14         17-Feb-2020 14:20:53      128, 102.4      1          q wf      
15         17-Feb-2020 14:20:58      1152, 921.6     1          q wf      
16         17-Feb-2020 14:21:01      1152, 921.6     1          q wf      
17         17-Feb-2020 14:21:05      1152, 921.6     1          q wf      
18         17-Feb-2020 14:21:10      0               1          q wf      
19         17-Feb-2020 14:21:15      1152, 921.6     1          q wf      
20         17-Feb-2020 14:21:18      0               1          q wf      
21         17-Feb-2020 14:21:22      1152, 921.6     1          q wf      
22         17-Feb-2020 14:21:26      128, 102.4      1          q wf      
23         17-Feb-2020 14:21:31      0               1          q wf      
24         17-Feb-2020 14:21:34      1152, 921.6     1          q wf      
25         17-Feb-2020 14:21:38      128, 102.4      1          q wf      
26         17-Feb-2020 14:21:42      128, 102.4      1          q wf      
27         17-Feb-2020 14:21:45      1152, 921.6     1          q wf      
28         17-Feb-2020 14:21:50      0               1          q wf      
29         17-Feb-2020 14:21:54      1152, 921.6     1          q wf      
30         17-Feb-2020 14:21:59      128, 102.4      1          q wf      
31         17-Feb-2020 14:22:04      128, 102.4      1          q wf      
