


Full Screen Flash Stimulus
Time and Date
17-Feb-2020 14:38:59

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          17-Feb-2020 14:38:59      0          1          fs wf     
2          17-Feb-2020 14:39:02      0          0.25       fs wf     
3          17-Feb-2020 14:39:06      0          0.25       fs wf     
4          17-Feb-2020 14:39:10      0          0.75       fs wf     
5          17-Feb-2020 14:39:15      0          0.75       fs wf     
6          17-Feb-2020 14:39:19      0          0.5        fs wf     
7          17-Feb-2020 14:39:23      0          0.75       fs wf     
8          17-Feb-2020 14:39:27      0          0.25       fs wf     
9          17-Feb-2020 14:39:32      0          0.25       fs wf     
10         17-Feb-2020 14:39:36      0          0.5        fs wf     
11         17-Feb-2020 14:39:40      0          1          fs wf     
12         17-Feb-2020 14:39:45      0          1          fs wf     
13         17-Feb-2020 14:39:48      0          0.5        fs wf     
14         17-Feb-2020 14:39:53      0          1          fs wf     
15         17-Feb-2020 14:39:57      0          0.5        fs wf     
16         17-Feb-2020 14:40:02      0          0.75       fs wf     
17         17-Feb-2020 14:40:06      0          0.25       fs wf     
18         17-Feb-2020 14:40:11      0          0.5        fs wf     
19         17-Feb-2020 14:40:16      0          1          fs wf     
20         17-Feb-2020 14:40:21      0          1          fs wf     
21         17-Feb-2020 14:40:26      0          0.25       fs wf     
22         17-Feb-2020 14:40:29      0          1          fs wf     
23         17-Feb-2020 14:40:34      0          0.25       fs wf     
24         17-Feb-2020 14:40:38      0          0.75       fs wf     
25         17-Feb-2020 14:40:43      0          1          fs wf     
26         17-Feb-2020 14:40:48      0          0.5        fs wf     
27         17-Feb-2020 14:40:53      0          0.5        fs wf     
28         17-Feb-2020 14:40:57      0          0.75       fs wf     
29         17-Feb-2020 14:41:01      0          0.5        fs wf     
30         17-Feb-2020 14:41:04      0          0.75       fs wf     
31         17-Feb-2020 14:41:08      0          0.75       fs wf     
32         17-Feb-2020 14:41:11      0          0.5        fs wf     
33         17-Feb-2020 14:41:16      0          0.75       fs wf     
Trial aborted
