


Full Screen Flash Stimulus
Time and Date
21-Aug-2020 16:31:50

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          21-Aug-2020 16:31:50      0          0.5        fs wf     
2          21-Aug-2020 16:31:54      0          1          fs wf     
3          21-Aug-2020 16:31:58      0          0.5        fs wf     
4          21-Aug-2020 16:32:02      0          0.75       fs wf     
5          21-Aug-2020 16:32:06      0          0.25       fs wf     
6          21-Aug-2020 16:32:11      0          0.75       fs wf     
7          21-Aug-2020 16:32:15      0          0.25       fs wf     
8          21-Aug-2020 16:32:21      0          0.25       fs wf     
9          21-Aug-2020 16:32:24      0          1          fs wf     
10         21-Aug-2020 16:32:28      0          0.75       fs wf     
11         21-Aug-2020 16:32:33      0          0.75       fs wf     
12         21-Aug-2020 16:32:37      0          0.25       fs wf     
13         21-Aug-2020 16:32:40      0          0.75       fs wf     
14         21-Aug-2020 16:32:44      0          0.75       fs wf     
15         21-Aug-2020 16:32:48      0          0.25       fs wf     
16         21-Aug-2020 16:32:53      0          0.5        fs wf     
17         21-Aug-2020 16:32:57      0          0.25       fs wf     
18         21-Aug-2020 16:33:02      0          1          fs wf     
19         21-Aug-2020 16:33:05      0          0.25       fs wf     
20         21-Aug-2020 16:33:09      0          1          fs wf     
21         21-Aug-2020 16:33:13      0          0.25       fs wf     
22         21-Aug-2020 16:33:18      0          1          fs wf     
23         21-Aug-2020 16:33:23      0          0.75       fs wf     
24         21-Aug-2020 16:33:26      0          0.75       fs wf     
25         21-Aug-2020 16:33:31      0          1          fs wf     
26         21-Aug-2020 16:33:34      0          0.25       fs wf     
27         21-Aug-2020 16:33:38      0          0.5        fs wf     
28         21-Aug-2020 16:33:42      0          0.25       fs wf     
29         21-Aug-2020 16:33:46      0          1          fs wf     
30         21-Aug-2020 16:33:50      0          1          fs wf     
31         21-Aug-2020 16:33:54      0          0.25       fs wf     
32         21-Aug-2020 16:33:58      0          0.25       fs wf     
33         21-Aug-2020 16:34:02      0          0.75       fs wf     
34         21-Aug-2020 16:34:07      0          0.75       fs wf     
35         21-Aug-2020 16:34:12      0          0.25       fs wf     
36         21-Aug-2020 16:34:17      0          0.5        fs wf     
37         21-Aug-2020 16:34:20      0          0.75       fs wf     
38         21-Aug-2020 16:34:24      0          0.25       fs wf     
39         21-Aug-2020 16:34:28      0          1          fs wf     
40         21-Aug-2020 16:34:32      0          1          fs wf     
41         21-Aug-2020 16:34:35      0          0.25       fs wf     
42         21-Aug-2020 16:34:39      0          0.25       fs wf     
43         21-Aug-2020 16:34:43      0          0.5        fs wf     
44         21-Aug-2020 16:34:47      0          0.75       fs wf     
45         21-Aug-2020 16:34:51      0          1          fs wf     
46         21-Aug-2020 16:34:55      0          1          fs wf     
47         21-Aug-2020 16:34:59      0          0.5        fs wf     
48         21-Aug-2020 16:35:04      0          0.5        fs wf     
49         21-Aug-2020 16:35:08      0          1          fs wf     
50         21-Aug-2020 16:35:13      0          0.5        fs wf     
51         21-Aug-2020 16:35:18      0          0.25       fs wf     
52         21-Aug-2020 16:35:23      0          1          fs wf     
53         21-Aug-2020 16:35:27      0          0.5        fs wf     
54         21-Aug-2020 16:35:30      0          0.5        fs wf     
55         21-Aug-2020 16:35:34      0          0.75       fs wf     
56         21-Aug-2020 16:35:39      0          0.25       fs wf     
57         21-Aug-2020 16:35:43      0          0.25       fs wf     
58         21-Aug-2020 16:35:47      0          0.5        fs wf     
59         21-Aug-2020 16:35:50      0          0.5        fs wf     
60         21-Aug-2020 16:35:55      0          0.25       fs wf     
61         21-Aug-2020 16:35:59      0          0.5        fs wf     
