


Full Screen Flash Stimulus
Time and Date
21-Aug-2020 16:00:48

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          21-Aug-2020 16:00:48      0          0.5        fs wf     
2          21-Aug-2020 16:00:53      0          0.5        fs wf     
3          21-Aug-2020 16:00:56      0          1          fs wf     
4          21-Aug-2020 16:01:01      0          1          fs wf     
5          21-Aug-2020 16:01:05      0          0.25       fs wf     
6          21-Aug-2020 16:01:10      0          0.5        fs wf     
7          21-Aug-2020 16:01:14      0          1          fs wf     
8          21-Aug-2020 16:01:18      0          1          fs wf     
9          21-Aug-2020 16:01:23      0          0.5        fs wf     
10         21-Aug-2020 16:01:27      0          1          fs wf     
11         21-Aug-2020 16:01:32      0          0.75       fs wf     
12         21-Aug-2020 16:01:37      0          0.25       fs wf     
13         21-Aug-2020 16:01:41      0          0.75       fs wf     
14         21-Aug-2020 16:01:45      0          0.75       fs wf     
15         21-Aug-2020 16:01:49      0          0.25       fs wf     
16         21-Aug-2020 16:01:52      0          0.5        fs wf     
17         21-Aug-2020 16:01:56      0          0.5        fs wf     
18         21-Aug-2020 16:01:59      0          1          fs wf     
19         21-Aug-2020 16:02:03      0          0.5        fs wf     
20         21-Aug-2020 16:02:07      0          0.5        fs wf     
21         21-Aug-2020 16:02:10      0          1          fs wf     
22         21-Aug-2020 16:02:14      0          0.25       fs wf     
23         21-Aug-2020 16:02:17      0          0.25       fs wf     
24         21-Aug-2020 16:02:22      0          0.75       fs wf     
25         21-Aug-2020 16:02:27      0          0.25       fs wf     
26         21-Aug-2020 16:02:30      0          1          fs wf     
27         21-Aug-2020 16:02:35      0          1          fs wf     
28         21-Aug-2020 16:02:38      0          0.75       fs wf     
29         21-Aug-2020 16:02:42      0          1          fs wf     
30         21-Aug-2020 16:02:47      0          0.75       fs wf     
31         21-Aug-2020 16:02:52      0          0.5        fs wf     
32         21-Aug-2020 16:02:57      0          1          fs wf     
33         21-Aug-2020 16:03:01      0          1          fs wf     
34         21-Aug-2020 16:03:06      0          1          fs wf     
35         21-Aug-2020 16:03:10      0          0.5        fs wf     
36         21-Aug-2020 16:03:13      0          0.25       fs wf     
37         21-Aug-2020 16:03:17      0          0.5        fs wf     
38         21-Aug-2020 16:03:20      0          0.25       fs wf     
39         21-Aug-2020 16:03:25      0          0.5        fs wf     
40         21-Aug-2020 16:03:30      0          1          fs wf     
41         21-Aug-2020 16:03:35      0          1          fs wf     
42         21-Aug-2020 16:03:40      0          0.25       fs wf     
43         21-Aug-2020 16:03:43      0          1          fs wf     
44         21-Aug-2020 16:03:47      0          0.75       fs wf     
45         21-Aug-2020 16:03:51      0          0.25       fs wf     
46         21-Aug-2020 16:03:55      0          0.25       fs wf     
47         21-Aug-2020 16:03:59      0          0.75       fs wf     
48         21-Aug-2020 16:04:04      0          1          fs wf     
49         21-Aug-2020 16:04:08      0          0.5        fs wf     
50         21-Aug-2020 16:04:12      0          1          fs wf     
51         21-Aug-2020 16:04:16      0          0.25       fs wf     
52         21-Aug-2020 16:04:19      0          1          fs wf     
53         21-Aug-2020 16:04:23      0          0.75       fs wf     
54         21-Aug-2020 16:04:27      0          0.75       fs wf     
55         21-Aug-2020 16:04:31      0          0.75       fs wf     
56         21-Aug-2020 16:04:34      0          0.25       fs wf     
57         21-Aug-2020 16:04:39      0          1          fs wf     
58         21-Aug-2020 16:04:43      0          0.5        fs wf     
59         21-Aug-2020 16:04:48      0          0.25       fs wf     
60         21-Aug-2020 16:04:53      0          0.25       fs wf     
61         21-Aug-2020 16:04:57      0          1          fs wf     
62         21-Aug-2020 16:05:00      0          0.75       fs wf     
63         21-Aug-2020 16:05:04      0          0.75       fs wf     
64         21-Aug-2020 16:05:09      0          0.75       fs wf     
65         21-Aug-2020 16:05:14      0          1          fs wf     
66         21-Aug-2020 16:05:17      0          1          fs wf     
67         21-Aug-2020 16:05:21      0          0.5        fs wf     
68         21-Aug-2020 16:05:24      0          0.5        fs wf     
69         21-Aug-2020 16:05:28      0          0.25       fs wf     
70         21-Aug-2020 16:05:32      0          1          fs wf     
71         21-Aug-2020 16:05:36      0          0.25       fs wf     
72         21-Aug-2020 16:05:40      0          0.75       fs wf     
73         21-Aug-2020 16:05:45      0          0.25       fs wf     
74         21-Aug-2020 16:05:48      0          0.5        fs wf     
75         21-Aug-2020 16:05:53      0          0.75       fs wf     
76         21-Aug-2020 16:05:56      0          0.75       fs wf     
77         21-Aug-2020 16:06:01      0          0.25       fs wf     
