


Multiple Location Flash Stimulus
Time and Date
17-Feb-2020 14:28:43

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location        contrast   stimulus type
1          17-Feb-2020 14:28:43      3               1          q wf      
2          17-Feb-2020 14:28:47      128, 102.4      1          q wf      
3          17-Feb-2020 14:28:52      3               1          q wf      
4          17-Feb-2020 14:28:57      4               1          q wf      
5          17-Feb-2020 14:29:01      1152, 102.4     1          q wf      
6          17-Feb-2020 14:29:05      128, 102.4      1          q wf      
7          17-Feb-2020 14:29:10      4               1          q wf      
8          17-Feb-2020 14:29:15      128, 102.4      1          q wf      
9          17-Feb-2020 14:29:18      128, 102.4      1          q wf      
10         17-Feb-2020 14:29:21      1152, 102.4     1          q wf      
11         17-Feb-2020 14:29:26      1152, 102.4     1          q wf      
12         17-Feb-2020 14:29:30      3               1          q wf      
13         17-Feb-2020 14:29:35      1152, 102.4     1          q wf      
14         17-Feb-2020 14:29:40      128, 102.4      1          q wf      
15         17-Feb-2020 14:29:43      3               1          q wf      
16         17-Feb-2020 14:29:47      4               1          q wf      
17         17-Feb-2020 14:29:52      1152, 102.4     1          q wf      
18         17-Feb-2020 14:29:57      1152, 102.4     1          q wf      
19         17-Feb-2020 14:30:01      3               1          q wf      
20         17-Feb-2020 14:30:06      3               1          q wf      
21         17-Feb-2020 14:30:10      1152, 102.4     1          q wf      
22         17-Feb-2020 14:30:15      3               1          q wf      
23         17-Feb-2020 14:30:19      128, 102.4      1          q wf      
24         17-Feb-2020 14:30:23      128, 102.4      1          q wf      
25         17-Feb-2020 14:30:28      3               1          q wf      
26         17-Feb-2020 14:30:31      1152, 102.4     1          q wf      
27         17-Feb-2020 14:30:36      128, 102.4      1          q wf      
28         17-Feb-2020 14:30:40      3               1          q wf      
29         17-Feb-2020 14:30:45      1152, 102.4     1          q wf      
30         17-Feb-2020 14:30:50      4               1          q wf      
31         17-Feb-2020 14:30:54      128, 102.4      1          q wf      
32         17-Feb-2020 14:30:58      128, 102.4      1          q wf      
33         17-Feb-2020 14:31:02      128, 102.4      1          q wf      
34         17-Feb-2020 14:31:06      128, 102.4      1          q wf      
35         17-Feb-2020 14:31:11      1152, 102.4     1          q wf      
36         17-Feb-2020 14:31:15      3               1          q wf      
37         17-Feb-2020 14:31:19      4               1          q wf      
38         17-Feb-2020 14:31:23      4               1          q wf      
39         17-Feb-2020 14:31:27      128, 102.4      1          q wf      
40         17-Feb-2020 14:31:31      4               1          q wf      
41         17-Feb-2020 14:31:34      128, 102.4      1          q wf      
42         17-Feb-2020 14:31:39      128, 102.4      1          q wf      
43         17-Feb-2020 14:31:43      4               1          q wf      
44         17-Feb-2020 14:31:48      128, 102.4      1          q wf      
45         17-Feb-2020 14:31:52      1152, 102.4     1          q wf      
46         17-Feb-2020 14:31:56      4               1          q wf      
47         17-Feb-2020 14:32:00      1152, 102.4     1          q wf      
48         17-Feb-2020 14:32:04      128, 102.4      1          q wf      
49         17-Feb-2020 14:32:08      3               1          q wf      
50         17-Feb-2020 14:32:12      128, 102.4      1          q wf      
51         17-Feb-2020 14:32:17      3               1          q wf      
52         17-Feb-2020 14:32:21      1152, 102.4     1          q wf      
53         17-Feb-2020 14:32:26      4               1          q wf      
54         17-Feb-2020 14:32:29      4               1          q wf      
55         17-Feb-2020 14:32:32      3               1          q wf      
56         17-Feb-2020 14:32:36      1152, 102.4     1          q wf      
57         17-Feb-2020 14:32:39      1152, 102.4     1          q wf      
58         17-Feb-2020 14:32:44      1152, 102.4     1          q wf      
59         17-Feb-2020 14:32:49      128, 102.4      1          q wf      
60         17-Feb-2020 14:32:54      4               1          q wf      
61         17-Feb-2020 14:32:57      3               1          q wf      
62         17-Feb-2020 14:33:02      1152, 102.4     1          q wf      
63         17-Feb-2020 14:33:06      3               1          q wf      
64         17-Feb-2020 14:33:11      3               1          q wf      
65         17-Feb-2020 14:33:14      3               1          q wf      
66         17-Feb-2020 14:33:19      128, 102.4      1          q wf      
67         17-Feb-2020 14:33:23      3               1          q wf      
68         17-Feb-2020 14:33:27      4               1          q wf      
69         17-Feb-2020 14:33:32      128, 102.4      1          q wf      
70         17-Feb-2020 14:33:37      128, 102.4      1          q wf      
71         17-Feb-2020 14:33:40      128, 102.4      1          q wf      
72         17-Feb-2020 14:33:45      128, 102.4      1          q wf      
73         17-Feb-2020 14:33:49      1152, 102.4     1          q wf      
74         17-Feb-2020 14:33:53      1152, 102.4     1          q wf      
75         17-Feb-2020 14:33:57      128, 102.4      1          q wf      
76         17-Feb-2020 14:34:01      128, 102.4      1          q wf      
77         17-Feb-2020 14:34:06      128, 102.4      1          q wf      
Trial aborted
