


Full Screen Flash Stimulus
Time and Date
22-Jun-2020 18:11:47

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          22-Jun-2020 18:11:47      0          1          fs wf     
2          22-Jun-2020 18:11:50      0          0.5        fs wf     
3          22-Jun-2020 18:11:55      0          0.25       fs wf     
4          22-Jun-2020 18:11:58      0          0.25       fs wf     
5          22-Jun-2020 18:12:03      0          0.25       fs wf     
6          22-Jun-2020 18:12:08      0          0.5        fs wf     
7          22-Jun-2020 18:12:13      0          0.5        fs wf     
8          22-Jun-2020 18:12:16      0          1          fs wf     
9          22-Jun-2020 18:12:19      0          0.5        fs wf     
10         22-Jun-2020 18:12:24      0          0.25       fs wf     
11         22-Jun-2020 18:12:27      0          1          fs wf     
12         22-Jun-2020 18:12:31      0          0.25       fs wf     
13         22-Jun-2020 18:12:34      0          1          fs wf     
14         22-Jun-2020 18:12:39      0          0.5        fs wf     
15         22-Jun-2020 18:12:42      0          0.25       fs wf     
16         22-Jun-2020 18:12:46      0          0.5        fs wf     
17         22-Jun-2020 18:12:51      0          0.75       fs wf     
18         22-Jun-2020 18:12:55      0          0.5        fs wf     
19         22-Jun-2020 18:12:59      0          1          fs wf     
20         22-Jun-2020 18:13:03      0          0.75       fs wf     
21         22-Jun-2020 18:13:07      0          0.25       fs wf     
22         22-Jun-2020 18:13:12      0          0.25       fs wf     
23         22-Jun-2020 18:13:15      0          0.25       fs wf     
24         22-Jun-2020 18:13:18      0          0.5        fs wf     
25         22-Jun-2020 18:13:23      0          0.75       fs wf     
26         22-Jun-2020 18:13:27      0          0.25       fs wf     
27         22-Jun-2020 18:13:31      0          0.75       fs wf     
28         22-Jun-2020 18:13:35      0          1          fs wf     
29         22-Jun-2020 18:13:40      0          1          fs wf     
30         22-Jun-2020 18:13:45      0          0.25       fs wf     
31         22-Jun-2020 18:13:49      0          0.75       fs wf     
32         22-Jun-2020 18:13:54      0          0.75       fs wf     
33         22-Jun-2020 18:13:57      0          0.5        fs wf     
34         22-Jun-2020 18:14:02      0          0.75       fs wf     
35         22-Jun-2020 18:14:07      0          0.5        fs wf     
36         22-Jun-2020 18:14:11      0          0.75       fs wf     
37         22-Jun-2020 18:14:16      0          1          fs wf     
38         22-Jun-2020 18:14:20      0          1          fs wf     
39         22-Jun-2020 18:14:24      0          0.5        fs wf     
40         22-Jun-2020 18:14:27      0          0.5        fs wf     
41         22-Jun-2020 18:14:32      0          0.75       fs wf     
42         22-Jun-2020 18:14:35      0          0.75       fs wf     
43         22-Jun-2020 18:14:38      0          1          fs wf     
44         22-Jun-2020 18:14:42      0          1          fs wf     
45         22-Jun-2020 18:14:46      0          0.5        fs wf     
46         22-Jun-2020 18:14:51      0          0.25       fs wf     
47         22-Jun-2020 18:14:55      0          0.5        fs wf     
48         22-Jun-2020 18:14:58      0          0.75       fs wf     
49         22-Jun-2020 18:15:03      0          1          fs wf     
50         22-Jun-2020 18:15:07      0          0.5        fs wf     
51         22-Jun-2020 18:15:11      0          0.25       fs wf     
52         22-Jun-2020 18:15:15      0          1          fs wf     
53         22-Jun-2020 18:15:19      0          0.75       fs wf     
54         22-Jun-2020 18:15:24      0          0.25       fs wf     
55         22-Jun-2020 18:15:28      0          1          fs wf     
56         22-Jun-2020 18:15:33      0          0.5        fs wf     
57         22-Jun-2020 18:15:37      0          0.5        fs wf     
58         22-Jun-2020 18:15:40      0          0.5        fs wf     
59         22-Jun-2020 18:15:44      0          0.25       fs wf     
60         22-Jun-2020 18:15:49      0          0.75       fs wf     
61         22-Jun-2020 18:15:54      0          1          fs wf     
62         22-Jun-2020 18:15:57      0          0.75       fs wf     
63         22-Jun-2020 18:16:00      0          0.5        fs wf     
64         22-Jun-2020 18:16:04      0          0.5        fs wf     
65         22-Jun-2020 18:16:08      0          0.5        fs wf     
66         22-Jun-2020 18:16:13      0          0.25       fs wf     
67         22-Jun-2020 18:16:16      0          1          fs wf     
68         22-Jun-2020 18:16:21      0          0.25       fs wf     
69         22-Jun-2020 18:16:26      0          0.75       fs wf     
70         22-Jun-2020 18:16:30      0          0.25       fs wf     
71         22-Jun-2020 18:16:33      0          0.25       fs wf     
72         22-Jun-2020 18:16:38      0          0.5        fs wf     
73         22-Jun-2020 18:16:42      0          0.75       fs wf     
74         22-Jun-2020 18:16:45      0          1          fs wf     
75         22-Jun-2020 18:16:49      0          0.75       fs wf     
76         22-Jun-2020 18:16:53      0          1          fs wf     
