


Full Screen Flash Stimulus
Time and Date
23-Jun-2020 16:15:52

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          23-Jun-2020 16:15:52      0          1          fs wf     
2          23-Jun-2020 16:15:56      0          0.5        fs wf     
3          23-Jun-2020 16:16:01      0          1          fs wf     
4          23-Jun-2020 16:16:06      0          0.25       fs wf     
5          23-Jun-2020 16:16:11      0          0.5        fs wf     
6          23-Jun-2020 16:16:14      0          0.25       fs wf     
7          23-Jun-2020 16:16:17      0          1          fs wf     
8          23-Jun-2020 16:16:21      0          0.75       fs wf     
9          23-Jun-2020 16:16:25      0          0.75       fs wf     
10         23-Jun-2020 16:16:30      0          0.5        fs wf     
11         23-Jun-2020 16:16:34      0          0.5        fs wf     
12         23-Jun-2020 16:16:38      0          0.25       fs wf     
13         23-Jun-2020 16:16:43      0          1          fs wf     
14         23-Jun-2020 16:16:46      0          1          fs wf     
15         23-Jun-2020 16:16:51      0          0.25       fs wf     
16         23-Jun-2020 16:16:55      0          0.5        fs wf     
17         23-Jun-2020 16:17:00      0          0.75       fs wf     
18         23-Jun-2020 16:17:03      0          0.5        fs wf     
19         23-Jun-2020 16:17:07      0          0.5        fs wf     
20         23-Jun-2020 16:17:10      0          0.25       fs wf     
21         23-Jun-2020 16:17:14      0          0.25       fs wf     
22         23-Jun-2020 16:17:17      0          0.25       fs wf     
23         23-Jun-2020 16:17:21      0          1          fs wf     
24         23-Jun-2020 16:17:25      0          0.25       fs wf     
25         23-Jun-2020 16:17:29      0          1          fs wf     
26         23-Jun-2020 16:17:33      0          1          fs wf     
27         23-Jun-2020 16:17:37      0          0.75       fs wf     
28         23-Jun-2020 16:17:40      0          0.5        fs wf     
29         23-Jun-2020 16:17:43      0          0.25       fs wf     
30         23-Jun-2020 16:17:48      0          0.5        fs wf     
31         23-Jun-2020 16:17:52      0          1          fs wf     
32         23-Jun-2020 16:17:56      0          0.25       fs wf     
33         23-Jun-2020 16:17:59      0          0.5        fs wf     
34         23-Jun-2020 16:18:03      0          0.5        fs wf     
35         23-Jun-2020 16:18:08      0          0.5        fs wf     
36         23-Jun-2020 16:18:12      0          1          fs wf     
37         23-Jun-2020 16:18:16      0          0.25       fs wf     
38         23-Jun-2020 16:18:20      0          0.5        fs wf     
39         23-Jun-2020 16:18:24      0          0.75       fs wf     
40         23-Jun-2020 16:18:27      0          0.75       fs wf     
41         23-Jun-2020 16:18:32      0          0.25       fs wf     
42         23-Jun-2020 16:18:35      0          0.75       fs wf     
43         23-Jun-2020 16:18:40      0          0.25       fs wf     
44         23-Jun-2020 16:18:45      0          0.5        fs wf     
45         23-Jun-2020 16:18:50      0          0.75       fs wf     
46         23-Jun-2020 16:18:55      0          0.75       fs wf     
47         23-Jun-2020 16:18:59      0          0.5        fs wf     
48         23-Jun-2020 16:19:03      0          0.75       fs wf     
49         23-Jun-2020 16:19:06      0          1          fs wf     
50         23-Jun-2020 16:19:10      0          0.5        fs wf     
51         23-Jun-2020 16:19:14      0          0.75       fs wf     
52         23-Jun-2020 16:19:18      0          0.25       fs wf     
53         23-Jun-2020 16:19:22      0          1          fs wf     
54         23-Jun-2020 16:19:27      0          1          fs wf     
55         23-Jun-2020 16:19:32      0          0.75       fs wf     
56         23-Jun-2020 16:19:36      0          0.5        fs wf     
57         23-Jun-2020 16:19:40      0          1          fs wf     
58         23-Jun-2020 16:19:45      0          0.25       fs wf     
59         23-Jun-2020 16:19:49      0          1          fs wf     
60         23-Jun-2020 16:19:53      0          1          fs wf     
61         23-Jun-2020 16:19:58      0          1          fs wf     
62         23-Jun-2020 16:20:01      0          1          fs wf     
63         23-Jun-2020 16:20:05      0          0.75       fs wf     
64         23-Jun-2020 16:20:08      0          0.75       fs wf     
65         23-Jun-2020 16:20:13      0          0.25       fs wf     
66         23-Jun-2020 16:20:17      0          0.25       fs wf     
67         23-Jun-2020 16:20:21      0          0.75       fs wf     
68         23-Jun-2020 16:20:25      0          1          fs wf     
69         23-Jun-2020 16:20:29      0          0.5        fs wf     
70         23-Jun-2020 16:20:33      0          0.5        fs wf     
71         23-Jun-2020 16:20:37      0          0.5        fs wf     
72         23-Jun-2020 16:20:41      0          1          fs wf     
73         23-Jun-2020 16:20:45      0          0.25       fs wf     
74         23-Jun-2020 16:20:48      0          1          fs wf     
75         23-Jun-2020 16:20:52      0          1          fs wf     
76         23-Jun-2020 16:20:56      0          0.25       fs wf     
77         23-Jun-2020 16:20:59      0          0.75       fs wf     
78         23-Jun-2020 16:21:04      0          0.25       fs wf     
79         23-Jun-2020 16:21:08      0          0.75       fs wf     
80         23-Jun-2020 16:21:12      0          0.25       fs wf     
81         23-Jun-2020 16:21:16      0          0.25       fs wf     
82         23-Jun-2020 16:21:20      0          0.75       fs wf     
83         23-Jun-2020 16:21:23      0          0.75       fs wf     
84         23-Jun-2020 16:21:27      0          0.25       fs wf     
85         23-Jun-2020 16:21:31      0          0.75       fs wf     
86         23-Jun-2020 16:21:35      0          0.5        fs wf     
87         23-Jun-2020 16:21:39      0          0.5        fs wf     
88         23-Jun-2020 16:21:44      0          1          fs wf     
89         23-Jun-2020 16:21:49      0          0.5        fs wf     
90         23-Jun-2020 16:21:54      0          0.75       fs wf     
91         23-Jun-2020 16:21:58      0          0.5        fs wf     
92         23-Jun-2020 16:22:03      0          0.75       fs wf     
93         23-Jun-2020 16:22:07      0          0.75       fs wf     
94         23-Jun-2020 16:22:11      0          1          fs wf     
95         23-Jun-2020 16:22:16      0          0.75       fs wf     
96         23-Jun-2020 16:22:20      0          0.75       fs wf     
97         23-Jun-2020 16:22:24      0          0.5        fs wf     
98         23-Jun-2020 16:22:28      0          1          fs wf     
99         23-Jun-2020 16:22:33      0          0.25       fs wf     
100        23-Jun-2020 16:22:37      0          0.25       fs wf     
