


Full Screen Flash Stimulus
Time and Date
21-Aug-2020 15:06:25

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          21-Aug-2020 15:06:25      0          0.5        fs wf     
2          21-Aug-2020 15:06:29      0          0.25       fs wf     
3          21-Aug-2020 15:06:33      0          0.25       fs wf     
4          21-Aug-2020 15:06:38      0          0.75       fs wf     
5          21-Aug-2020 15:06:41      0          0.5        fs wf     
6          21-Aug-2020 15:06:45      0          0.75       fs wf     
7          21-Aug-2020 15:06:49      0          0.5        fs wf     
8          21-Aug-2020 15:06:54      0          0.25       fs wf     
9          21-Aug-2020 15:06:57      0          0.25       fs wf     
10         21-Aug-2020 15:07:01      0          0.25       fs wf     
11         21-Aug-2020 15:07:05      0          0.5        fs wf     
12         21-Aug-2020 15:07:09      0          0.75       fs wf     
13         21-Aug-2020 15:07:14      0          0.75       fs wf     
14         21-Aug-2020 15:07:18      0          0.5        fs wf     
15         21-Aug-2020 15:07:22      0          0.25       fs wf     
16         21-Aug-2020 15:07:26      0          0.25       fs wf     
17         21-Aug-2020 15:07:31      0          0.75       fs wf     
18         21-Aug-2020 15:07:35      0          0.25       fs wf     
19         21-Aug-2020 15:07:39      0          0.5        fs wf     
20         21-Aug-2020 15:07:42      0          0.5        fs wf     
21         21-Aug-2020 15:07:47      0          1          fs wf     
22         21-Aug-2020 15:07:52      0          1          fs wf     
23         21-Aug-2020 15:07:55      0          0.25       fs wf     
24         21-Aug-2020 15:08:00      0          1          fs wf     
25         21-Aug-2020 15:08:03      0          1          fs wf     
26         21-Aug-2020 15:08:07      0          0.75       fs wf     
27         21-Aug-2020 15:08:12      0          0.25       fs wf     
28         21-Aug-2020 15:08:16      0          0.75       fs wf     
29         21-Aug-2020 15:08:20      0          0.25       fs wf     
30         21-Aug-2020 15:08:24      0          1          fs wf     
31         21-Aug-2020 15:08:28      0          0.75       fs wf     
32         21-Aug-2020 15:08:32      0          0.25       fs wf     
33         21-Aug-2020 15:08:35      0          1          fs wf     
34         21-Aug-2020 15:08:40      0          0.25       fs wf     
35         21-Aug-2020 15:08:44      0          0.5        fs wf     
36         21-Aug-2020 15:08:49      0          0.5        fs wf     
37         21-Aug-2020 15:08:53      0          0.5        fs wf     
38         21-Aug-2020 15:08:57      0          1          fs wf     
39         21-Aug-2020 15:09:02      0          0.75       fs wf     
40         21-Aug-2020 15:09:06      0          0.25       fs wf     
41         21-Aug-2020 15:09:10      0          0.5        fs wf     
42         21-Aug-2020 15:09:14      0          0.5        fs wf     
43         21-Aug-2020 15:09:19      0          0.5        fs wf     
44         21-Aug-2020 15:09:22      0          0.25       fs wf     
45         21-Aug-2020 15:09:26      0          0.75       fs wf     
46         21-Aug-2020 15:09:30      0          1          fs wf     
47         21-Aug-2020 15:09:34      0          0.5        fs wf     
48         21-Aug-2020 15:09:37      0          0.5        fs wf     
49         21-Aug-2020 15:09:41      0          0.25       fs wf     
50         21-Aug-2020 15:09:45      0          0.75       fs wf     
51         21-Aug-2020 15:09:50      0          0.25       fs wf     
52         21-Aug-2020 15:09:55      0          0.25       fs wf     
53         21-Aug-2020 15:09:59      0          0.5        fs wf     
54         21-Aug-2020 15:10:03      0          0.5        fs wf     
55         21-Aug-2020 15:10:07      0          1          fs wf     
56         21-Aug-2020 15:10:12      0          0.75       fs wf     
57         21-Aug-2020 15:10:15      0          1          fs wf     
58         21-Aug-2020 15:10:18      0          0.75       fs wf     
59         21-Aug-2020 15:10:23      0          0.25       fs wf     
60         21-Aug-2020 15:10:28      0          1          fs wf     
61         21-Aug-2020 15:10:32      0          0.75       fs wf     
62         21-Aug-2020 15:10:37      0          0.5        fs wf     
63         21-Aug-2020 15:10:40      0          0.5        fs wf     
64         21-Aug-2020 15:10:45      0          1          fs wf     
65         21-Aug-2020 15:10:48      0          0.75       fs wf     
66         21-Aug-2020 15:10:52      0          0.25       fs wf     
67         21-Aug-2020 15:10:57      0          0.25       fs wf     
68         21-Aug-2020 15:11:02      0          0.5        fs wf     
69         21-Aug-2020 15:11:06      0          1          fs wf     
70         21-Aug-2020 15:11:11      0          1          fs wf     
71         21-Aug-2020 15:11:15      0          0.75       fs wf     
72         21-Aug-2020 15:11:19      0          1          fs wf     
73         21-Aug-2020 15:11:24      0          0.25       fs wf     
74         21-Aug-2020 15:11:28      0          1          fs wf     
75         21-Aug-2020 15:11:31      0          0.75       fs wf     
76         21-Aug-2020 15:11:36      0          1          fs wf     
77         21-Aug-2020 15:11:39      0          1          fs wf     
78         21-Aug-2020 15:11:44      0          1          fs wf     
79         21-Aug-2020 15:11:49      0          0.25       fs wf     
80         21-Aug-2020 15:11:53      0          0.75       fs wf     
81         21-Aug-2020 15:11:57      0          0.25       fs wf     
82         21-Aug-2020 15:12:01      0          0.75       fs wf     
83         21-Aug-2020 15:12:06      0          0.75       fs wf     
84         21-Aug-2020 15:12:10      0          0.25       fs wf     
85         21-Aug-2020 15:12:14      0          0.25       fs wf     
86         21-Aug-2020 15:12:18      0          0.5        fs wf     
87         21-Aug-2020 15:12:22      0          1          fs wf     
88         21-Aug-2020 15:12:27      0          0.25       fs wf     
89         21-Aug-2020 15:12:31      0          0.5        fs wf     
90         21-Aug-2020 15:12:34      0          0.5        fs wf     
91         21-Aug-2020 15:12:37      0          0.5        fs wf     
92         21-Aug-2020 15:12:42      0          0.5        fs wf     
93         21-Aug-2020 15:12:46      0          0.5        fs wf     
94         21-Aug-2020 15:12:50      0          1          fs wf     
95         21-Aug-2020 15:12:54      0          0.75       fs wf     
96         21-Aug-2020 15:12:59      0          0.75       fs wf     
97         21-Aug-2020 15:13:04      0          0.75       fs wf     
98         21-Aug-2020 15:13:07      0          0.75       fs wf     
99         21-Aug-2020 15:13:11      0          1          fs wf     
100        21-Aug-2020 15:13:15      0          0.5        fs wf     
101        21-Aug-2020 15:13:18      0          0.5        fs wf     
102        21-Aug-2020 15:13:22      0          0.25       fs wf     
103        21-Aug-2020 15:13:25      0          0.75       fs wf     
104        21-Aug-2020 15:13:29      0          0.5        fs wf     
105        21-Aug-2020 15:13:34      0          0.5        fs wf     
106        21-Aug-2020 15:13:38      0          0.5        fs wf     
107        21-Aug-2020 15:13:42      0          0.75       fs wf     
108        21-Aug-2020 15:13:45      0          1          fs wf     
109        21-Aug-2020 15:13:50      0          0.5        fs wf     
110        21-Aug-2020 15:13:54      0          1          fs wf     
111        21-Aug-2020 15:13:57      0          1          fs wf     
112        21-Aug-2020 15:14:01      0          0.25       fs wf     
113        21-Aug-2020 15:14:05      0          0.25       fs wf     
114        21-Aug-2020 15:14:09      0          0.5        fs wf     
115        21-Aug-2020 15:14:13      0          0.75       fs wf     
116        21-Aug-2020 15:14:18      0          0.5        fs wf     
117        21-Aug-2020 15:14:23      0          1          fs wf     
