


Multiple Location Flash Stimulus
Time and Date
17-Feb-2020 13:53:50

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location        contrast   stimulus type
1          17-Feb-2020 13:53:50      3               1          q wf      
2          17-Feb-2020 13:53:55      3               0.75       q wf      
3          17-Feb-2020 13:53:58      2               0.5        q wf      
4          17-Feb-2020 13:54:03      4               1          q wf      
5          17-Feb-2020 13:54:06      4               0.75       q wf      
6          17-Feb-2020 13:54:10      2               0.75       q wf      
7          17-Feb-2020 13:54:13      1               1          q wf      
8          17-Feb-2020 13:54:17      1               1          q wf      
9          17-Feb-2020 13:54:22      3               0.5        q wf      
10         17-Feb-2020 13:54:26      1               0.5        q wf      
11         17-Feb-2020 13:54:30      3               0.25       q wf      
12         17-Feb-2020 13:54:34      1               1          q wf      
13         17-Feb-2020 13:54:38      4               0.5        q wf      
14         17-Feb-2020 13:54:41      4               1          q wf      
15         17-Feb-2020 13:54:46      1               0.25       q wf      
16         17-Feb-2020 13:54:51      1               1          q wf      
17         17-Feb-2020 13:54:55      2               0.25       q wf      
18         17-Feb-2020 13:55:00      3               1          q wf      
19         17-Feb-2020 13:55:04      1               0.25       q wf      
20         17-Feb-2020 13:55:08      3               0.5        q wf      
21         17-Feb-2020 13:55:12      3               1          q wf      
22         17-Feb-2020 13:55:17      4               0.25       q wf      
23         17-Feb-2020 13:55:21      4               1          q wf      
24         17-Feb-2020 13:55:26      4               0.25       q wf      
25         17-Feb-2020 13:55:29      3               0.75       q wf      
26         17-Feb-2020 13:55:33      2               0.5        q wf      
27         17-Feb-2020 13:55:37      2               0.75       q wf      
28         17-Feb-2020 13:55:41      2               1          q wf      
29         17-Feb-2020 13:55:46      2               0.5        q wf      
30         17-Feb-2020 13:55:51      1               0.5        q wf      
31         17-Feb-2020 13:55:54      4               0.5        q wf      
32         17-Feb-2020 13:55:57      2               0.25       q wf      
33         17-Feb-2020 13:56:01      3               0.25       q wf      
34         17-Feb-2020 13:56:05      1               0.75       q wf      
35         17-Feb-2020 13:56:10      4               1          q wf      
36         17-Feb-2020 13:56:14      2               0.5        q wf      
37         17-Feb-2020 13:56:18      1               0.75       q wf      
38         17-Feb-2020 13:56:21      3               0.75       q wf      
39         17-Feb-2020 13:56:25      1               1          q wf      
40         17-Feb-2020 13:56:29      2               1          q wf      
41         17-Feb-2020 13:56:34      2               0.5        q wf      
42         17-Feb-2020 13:56:38      2               0.5        q wf      
43         17-Feb-2020 13:56:42      4               1          q wf      
44         17-Feb-2020 13:56:45      3               0.25       q wf      
45         17-Feb-2020 13:56:49      1               0.5        q wf      
46         17-Feb-2020 13:56:54      4               0.5        q wf      
47         17-Feb-2020 13:56:58      4               0.5        q wf      
Trial aborted
